Tweet,Date,Time,User Name,Twitter Handle,Location,Followers Count,Following Count,Profile URL,Profile Image URL,Profile Banner URL,Account Creation Date,Retweet Count,Favorite Count,Reply Count,Hashtags,User Mentions,Media URLs,Tweet URL,Coordinates,Language,Source,Is Retweet,Is Quote Status,Quoted Status,In Reply To User,Place,Entities,Is Verified User,Is Retweeted,Is Favorited
"RT @money_rebellion: 💕 To the communities fighting for survival against the fossil fuel industry... Barclays, Drax, Standard Chartered, BP,…",2023-05-19,18:39:57,XR Cardigan,XRAberteifi,"Cardigan, Wales",77,186,https://t.co/MAkHAvr6yf,http://pbs.twimg.com/profile_images/1453986555463352320/G-Y_Whrs_normal.jpg,https://pbs.twimg.com/profile_banners/1453986287074127873/1679337333,2021-10-29,142,0,0,[],['money_rebellion'],[],https://twitter.com/XRAberteifi/status/1659629983864635413,,en,Twitter Web App,True,False,,,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'money_rebellion', 'name': 'XR Money Rebellion 🌍🌱🏳️\u200d⚧️', 'id': 1227611320339619840, 'id_str': '1227611320339619840', 'indices': [3, 19]}], 'urls': []}",False,False,False
"RT @money_rebellion: 💕 To the communities fighting for survival against the fossil fuel industry... Barclays, Drax, Standard Chartered, BP,…",2023-05-19,18:32:17,XR Stratford-Upon-Avon,XRStratford,"Stratford-upon-Avon, UK",472,409,https://t.co/QtxBHB3DnQ,http://pbs.twimg.com/profile_images/1616188587078205440/DnvET1IL_normal.jpg,https://pbs.twimg.com/profile_banners/1147291655671865344/1674165552,2019-07-05,142,0,0,[],['money_rebellion'],[],https://twitter.com/XRStratford/status/1659628057504694285,,en,Twitter for iPad,True,False,,,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'money_rebellion', 'name': 'XR Money Rebellion 🌍🌱🏳️\u200d⚧️', 'id': 1227611320339619840, 'id_str': '1227611320339619840', 'indices': [3, 19]}], 'urls': []}",False,False,False
"RT @CClimateAction: It can be really scary stepping outside of our comfort zones &amp; speaking out for a fossil free future.

A huge well done…",2023-05-19,18:12:20,Bert Rorije,BertRorijeNL,"Haarlem, The Netherlands",1254,1125,https://t.co/hqUBgk465y,http://pbs.twimg.com/profile_images/569785865656750080/y68rtFX7_normal.jpeg,https://pbs.twimg.com/profile_banners/328007048/1424682458,2011-07-02,16,0,0,[],['CClimateAction'],[],https://twitter.com/BertRorijeNL/status/1659623035077312518,,en,Twitter for iPad,True,False,,,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'CClimateAction', 'name': 'Christian Climate Action', 'id': 2830048777, 'id_str': '2830048777', 'indices': [3, 18]}], 'urls': []}",False,False,False
@legendisarmani @Cobratate @LloydsBank are you satire?,2023-05-19,18:03:57,Jay The restless,jay_restless,,0,1,,http://pbs.twimg.com/profile_images/1524836280764354579/KuQcPwJV_normal.jpg,,2022-05-12,0,0,0,[],"['legendisarmani', 'Cobratate', 'LloydsBank']",[],https://twitter.com/jay_restless/status/1659620924960788481,,en,Twitter Web App,False,False,,legendisarmani,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'legendisarmani', 'name': '𝐀𝐫𝐦𝐚𝐧𝐢🦋', 'id': 1400200294110171137, 'id_str': '1400200294110171137', 'indices': [0, 15]}, {'screen_name': 'Cobratate', 'name': 'Andrew Tate', 'id': 333357345, 'id_str': '333357345', 'indices': [16, 26]}, {'screen_name': 'LloydsBank', 'name': 'Lloyds Bank', 'id': 147932302, 'id_str': '147932302', 'indices': [27, 38]}], 'urls': []}",False,False,False
"Our banks are in a dangerous relationship with oil companies. In the last year, @BarclaysUK, @HSBC_UK, @Santanderuk, @lloydsbank &amp; @natwestgroup have provided $37 billion to the fossil fuel industry 🤯

I've told my mine to stop - will you do the same? https://t.co/7j4bsZwFKA",2023-05-19,18:01:09,Amanda Wright,AmandaWYoga,London Uk,208,156,http://t.co/LnacSWiHO9,http://pbs.twimg.com/profile_images/1195578177667706880/3Yy-niav_normal.jpg,https://pbs.twimg.com/profile_banners/28984887/1573883108,2009-04-05,0,0,0,[],"['BarclaysUK', 'HSBC_UK', 'santanderuk', 'LloydsBank', 'NatWestGroup']",[],https://twitter.com/AmandaWYoga/status/1659620221538250752,,en,Twitter Web App,False,False,,,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'BarclaysUK', 'name': 'Barclays UK', 'id': 338559800, 'id_str': '338559800', 'indices': [80, 91]}, {'screen_name': 'HSBC_UK', 'name': 'HSBC UK', 'id': 2922732233, 'id_str': '2922732233', 'indices': [93, 101]}, {'screen_name': 'santanderuk', 'name': 'Santander UK', 'id': 42664060, 'id_str': '42664060', 'indices': [103, 115]}, {'screen_name': 'LloydsBank', 'name': 'Lloyds Bank', 'id': 147932302, 'id_str': '147932302', 'indices': [117, 128]}, {'screen_name': 'NatWestGroup', 'name': 'NatWest Group', 'id': 429724798, 'id_str': '429724798', 'indices': [135, 148]}], 'urls': [{'url': 'https://t.co/7j4bsZwFKA', 'expanded_url': 'https://makemymoneymatter.co.uk/hiddenrelationship/', 'display_url': 'makemymoneymatter.co.uk/hiddenrelation…', 'indices': [256, 279]}]}",False,False,False
RT @CornishGames: Anyone from the UK. Of so I strongly  would not request going to @LloydsBank or even getting set up there all there stuff…,2023-05-19,17:54:06,jjjjjjjjjjw2022,jjjjjjjjjjw2022,,55,75,,http://pbs.twimg.com/profile_images/1598755574019129358/CuwX-Ec-_normal.jpg,,2022-12-02,1,0,0,[],"['CornishGames', 'LloydsBank']",[],https://twitter.com/jjjjjjjjjjw2022/status/1659618445674070030,,en,Twitter Web App,True,False,,,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'CornishGames', 'name': '〓〓 Cornish Games Night 〓〓', 'id': 764727437259333632, 'id_str': '764727437259333632', 'indices': [3, 16]}, {'screen_name': 'LloydsBank', 'name': 'Lloyds Bank', 'id': 147932302, 'id_str': '147932302', 'indices': [83, 94]}], 'urls': []}",False,False,False
@CornishGames @LloydsBank I never had any problems with Lloyds,2023-05-19,17:50:04,PunisherMoon|Content Creator | #Gamescom23,PunisherMoon1,Worcstershire ,268,475,https://t.co/IAGlcQto6g,http://pbs.twimg.com/profile_images/1608640380173434881/gDO9s9he_normal.jpg,,2019-03-01,0,0,0,[],"['CornishGames', 'LloydsBank']",[],https://twitter.com/PunisherMoon1/status/1659617432825126913,,en,Twitter for Android,False,False,,CornishGames,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'CornishGames', 'name': '〓〓 Cornish Games Night 〓〓', 'id': 764727437259333632, 'id_str': '764727437259333632', 'indices': [0, 13]}, {'screen_name': 'LloydsBank', 'name': 'Lloyds Bank', 'id': 147932302, 'id_str': '147932302', 'indices': [14, 25]}], 'urls': []}",False,False,False
"RT @CClimateAction: It can be really scary stepping outside of our comfort zones &amp; speaking out for a fossil free future.

A huge well done…",2023-05-19,17:44:58,John Daisley 🇺🇦,Daisley41264,"Lynton, England",27,59,,http://pbs.twimg.com/profile_images/1590669699431501826/CyOCZCEN_normal.jpg,https://pbs.twimg.com/profile_banners/1590649477525897218/1668080184,2022-11-10,16,0,0,[],['CClimateAction'],[],https://twitter.com/Daisley41264/status/1659616146595749889,,en,Twitter for Android,True,False,,,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'CClimateAction', 'name': 'Christian Climate Action', 'id': 2830048777, 'id_str': '2830048777', 'indices': [3, 18]}], 'urls': []}",False,False,False
"RT @money_rebellion: 💕 To the communities fighting for survival against the fossil fuel industry... Barclays, Drax, Standard Chartered, BP,…",2023-05-19,17:44:42,Argyll and Bute Greens,ArgyllButeGreen,"Scotland, United Kingdom",642,1191,,http://pbs.twimg.com/profile_images/959415461858377729/q3B8laFE_normal.jpg,https://pbs.twimg.com/profile_banners/959411846284546048/1559652701,2018-02-02,142,0,0,[],['money_rebellion'],[],https://twitter.com/ArgyllButeGreen/status/1659616080610902025,,en,Twitter for Android,True,False,,,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'money_rebellion', 'name': 'XR Money Rebellion 🌍🌱🏳️\u200d⚧️', 'id': 1227611320339619840, 'id_str': '1227611320339619840', 'indices': [3, 19]}], 'urls': []}",False,False,False
RT @money_rebellion: @dharmainpyjamas @LloydsBank Please join the #PeoplesHealthTribunal on Sat with communities resisting Shell &amp; Total 👉🏿…,2023-05-19,17:42:37,Zoe Cohen,ZoeatShine,"North West of England, UK",4103,5002,,http://pbs.twimg.com/profile_images/1437462344783773703/3eBP56S-_normal.jpg,https://pbs.twimg.com/profile_banners/107075223/1631552560,2010-01-21,3,0,0,['PeoplesHealthTribunal'],"['money_rebellion', 'dharmainpyjamas', 'LloydsBank']",[],https://twitter.com/ZoeatShine/status/1659615558587785221,,en,Twitter for Android,True,False,,,,"{'hashtags': [{'text': 'PeoplesHealthTribunal', 'indices': [66, 88]}], 'symbols': [], 'user_mentions': [{'screen_name': 'money_rebellion', 'name': 'XR Money Rebellion 🌍🌱🏳️\u200d⚧️', 'id': 1227611320339619840, 'id_str': '1227611320339619840', 'indices': [3, 19]}, {'screen_name': 'dharmainpyjamas', 'name': 'Pearl Lotus', 'id': 1378337011355025409, 'id_str': '1378337011355025409', 'indices': [21, 37]}, {'screen_name': 'LloydsBank', 'name': 'Lloyds Bank', 'id': 147932302, 'id_str': '147932302', 'indices': [38, 49]}], 'urls': []}",False,False,False
