,Tweets
32,"b'RT @motorolaindia: Well, now you will know what makes the #motog10power truly a #PowerfulAllRounder - all its brilliant features! Save the\xe2\x80\xa6'"
33,"b""RT @motorolaindia: Click picture-perfect moments with #motog10power's 48MP Quad Camera. Get vivid nighttime pictures, beautiful portraits,\xe2\x80\xa6"""
34,"b""RT @motorolaindia: Netizens, it's time to make the most of every situation with the #PowerfulAllRounder. Introducing #motog10power with a 6\xe2\x80\xa6"""
35,b'#Technology: Motorola is back to make a dent in the affordable smartphone segment in India with two new devices \xe2\x80\x94 Moto G30 and Moto G10 Power. #Motorola #MotoG30 #MotoG10Power @motorolaindia @Moto \nhttps://t.co/6Fadcy2jLk'
36,"b'RT @witty_vishal: @motorolaindia My guess are\nMoto G10 Power - \xe2\x82\xb99,990/-\nMoto G30 - \xe2\x82\xb912,990/-\n\n#PowerfulAllRounder #SolidAllRounder #GuessTh\xe2\x80\xa6'"
37,b'#Motog10power\nLink:-https://t.co/kVTfUjsCyw https://t.co/kjHaqwEjoI'
38,"b'RT @Vigneshacc: @motorolaindia My predictions :\nMoto G10 Power -  \xe2\x82\xb912,990/-\nMoto G30 -               \xe2\x82\xb916,990/-\n\n#PowerfulAllRounder #SolidA\xe2\x80\xa6'"
39,b'RT @Pareek197: @motorolaindia Moto G10 power: \xe2\x82\xb99990\n\nMoto G30: \xe2\x82\xb9 10990\n\n#PowerfulAllRounder  \n#SolidAllRounder\n#motog10power\n#motog30 \n\n@mo\xe2\x80\xa6'
40,b'RT @Pareek197: @motorolaindia Moto G10 power: \xe2\x82\xb99990\n\nMoto G30: \xe2\x82\xb9 10990\n\n#PowerfulAllRounder  \n#SolidAllRounder\n#motog10power\n#motog30 \n\n@mo\xe2\x80\xa6'
41,"b""@motorolaindia @ArtsticL Here's my entry team.\n\nMoto G10 Power - \xe2\x82\xb99,999/-\n\nMoto G30 - \xe2\x82\xb910,999/-\n\n#PowerfulAllRounder #SolidAllRounder #GuessThePrice #AsliAllRounders #Contest #motog10power #motog30 \n@motorolaindia1\nJoin @ArtsticL\n@KarunRajK3"""
42,b'RT @motorolaindia: Wish to win a #PowerfulAllRounder or a #SolidAllRounder? Just #GuessThePrice of both the #AsliAllRounders. #Contest ends\xe2\x80\xa6'
43,b'RT @motorolaindia: Wish to win a #PowerfulAllRounder or a #SolidAllRounder? Just #GuessThePrice of both the #AsliAllRounders. #Contest ends\xe2\x80\xa6'
44,"b""@motorolaindia Here's my entry team.\n\nMoto G10 Power - \xe2\x82\xb99,999/-\n\nMoto G30 - \xe2\x82\xb910,999/-\n\n#PowerfulAllRounder #SolidAllRounder #GuessThePrice #AsliAllRounders #Contest #motog10power #motog30 \n@motorolaindia1\nJoin @Its_me__Gokul\n@KarunRajK3"""
45,b'RT @gadgetstouse: #GTU #NewVideo #MotoG30\n#motog10power\n\nNew video: Moto G30 and G10 Power | Powerful enough? | Unboxing and First Impressi\xe2\x80\xa6'
46,"b""RT @motorolaindia: Click picture-perfect moments with #motog10power's 48MP Quad Camera. Get vivid nighttime pictures, beautiful portraits,\xe2\x80\xa6"""
47,"b""RT @motorolaindia: Click picture-perfect moments with #motog10power's 48MP Quad Camera. Get vivid nighttime pictures, beautiful portraits,\xe2\x80\xa6"""
48,"b'RT @DrSujit_IITB: @motorolaindia I am expecting \xf0\x9f\x91\x87\n\xf0\x9f\x91\x89Moto G10 Power : \xe2\x82\xb910,999/-\n\n\xf0\x9f\x91\x89Moto G30 : \xe2\x82\xb912,999/-\n\n#PowerfulAllRounder #SolidAllRounder\xe2\x80\xa6'"
49,"b'RT @motorolaindia: You wanted to explore more. You got it with #motog10power that comes with a 6000 mAh battery, 48MP Quad Camera, ThinkShi\xe2\x80\xa6'"
50,"b""RT @motorolaindia: Click picture-perfect moments with #motog10power's 48MP Quad Camera. Get vivid nighttime pictures, beautiful portraits,\xe2\x80\xa6"""
51,b'RT @sparrowsoft: Best Grocery Store POS Billing Software in Varanasi. \nGet 30 Day Demo Trial.\nCall us - 9918005600\nMail us - info@sparrowso\xe2\x80\xa6'
52,"b""#MotoG10Power vs #Redmi9Power: What's your choice?\n\nhttps://t.co/8qEHA23trF https://t.co/KcG5ByvcWZ"""
53,b'RT @Pareek197: @motorolaindia Moto G10 power: \xe2\x82\xb99990\n\nMoto G30: \xe2\x82\xb9 10990\n\n#PowerfulAllRounder  \n#SolidAllRounder\n#motog10power\n#motog30 \n\n@mo\xe2\x80\xa6'
54,"b'Moto G10 Power Price, Official Look, Design, Camera, Specifications, Features and Sale Details\n#MotoG10Power #Motorola #Moto #G10Power #MotoG30 #MotorolaMotoG10Power #MotoG10 #Power #MotorolaMobile #Motorola2021\nhttps://t.co/mZu2Uub5uQ'"
55,"b'Moto G10 Power Price, Official Look, Design, Camera, Specifications, Features and Sale Details\n#MotoG10Power #Motorola #Moto #G10Power #MotoG30 #MotorolaMotoG10Power #MotoG10 #Power #MotorolaMobile #Motorola2021\nhttps://t.co/NNP9U7qhf4'"
56,b'https://t.co/gwcJuigThS\nReasons Not To Buy Motorola Moto G10 Power \n@motorolaindia  @YouTubeIndia  #PSPK27 #KINGDOM #DhoniReturns #Odisha @realmemobiles @Naveen_Odisha #Mahashivratri #mirackandili #witsprotest #GodiMediaAntiFarmer #Pakistan #KINGDOM @SDhawan25 #motog10power'
57,"b""RT @motorolaindia: Click picture-perfect moments with #motog10power's 48MP Quad Camera. Get vivid nighttime pictures, beautiful portraits,\xe2\x80\xa6"""
58,b'RT @Pareek197: @motorolaindia Moto G10 power: \xe2\x82\xb99990\n\nMoto G30: \xe2\x82\xb9 10990\n\n#PowerfulAllRounder  \n#SolidAllRounder\n#motog10power\n#motog30 \n\n@mo\xe2\x80\xa6'
59,"b'RT @techscico: Moto G10 Power launched in India \n\n- 6.5"" HD+ display\n- Snapdragon 460 SoC\n- 8MP Front \n- 48MP + 8MP + 2MP + 2MP Rear \n- 3.5\xe2\x80\xa6'"
60,"b'RT @techscico: Moto G10 Power launched in India \n\n- 6.5"" HD+ display\n- Snapdragon 460 SoC\n- 8MP Front \n- 48MP + 8MP + 2MP + 2MP Rear \n- 3.5\xe2\x80\xa6'"
61,"b'RT @techscico: Moto G10 Power launched in India \n\n- 6.5"" HD+ display\n- Snapdragon 460 SoC\n- 8MP Front \n- 48MP + 8MP + 2MP + 2MP Rear \n- 3.5\xe2\x80\xa6'"
62,"b'RT @techscico: Moto G10 Power launched in India \n\n- 6.5"" HD+ display\n- Snapdragon 460 SoC\n- 8MP Front \n- 48MP + 8MP + 2MP + 2MP Rear \n- 3.5\xe2\x80\xa6'"
63,"b'RT @techscico: Moto G10 Power launched in India \n\n- 6.5"" HD+ display\n- Snapdragon 460 SoC\n- 8MP Front \n- 48MP + 8MP + 2MP + 2MP Rear \n- 3.5\xe2\x80\xa6'"
64,b'RT @Pareek197: @motorolaindia Moto G10 power: \xe2\x82\xb99990\n\nMoto G30: \xe2\x82\xb9 10990\n\n#PowerfulAllRounder  \n#SolidAllRounder\n#motog10power\n#motog30 \n\n@mo\xe2\x80\xa6'
65,"b'Moto G10 Power launched in India \n\n6.5"" HD+ MaxVision display\n1600 x 720 Pixels\nSnapdragon 460 SoC\n8MP | 48MP + 8MP + 2MP + 2MP\n4GB RAM\n64GB storage\n3.5mm audio jack\nRear-mounted FPS\nIP52\n6000mAh battery\n20W TurboPower\nAndroid 11\n4GB+64GB: Rs. 9999\n#motog10power #moto #motorola https://t.co/GLkeIL2lD3'"
66,b'RT @Bundi2000: #GenerationEquality\n#YoongiDay\n#Yemen\n#YoongiOurHome\n#LiftMotionPoster\n#LetUsBackToAus\n#KGFChapter2\n#ShauryaAurAnokhiKiKahan\xe2\x80\xa6'
67,"b'Moto G30 launched in India \n\n6.5"" HD+ MaxVision display\n90Hz refresh rate\n1600 x 720 Pixels\nSnapdragon 662\n4GB RAM\n64GB storage\n13MP | 64+8+2+2MP \n3.5mm audio jack\nRear-mounted FPS\nIP52\n5,000 mAh battery\n20W TurboPower\nAndroid 11\n4GB+64GB: Rs. 10,999\n#MotoG30 #motog10power #moto https://t.co/Dmpb2peniz'"
68,"b""RT @motorolaindia: Netizens, it's time to make the most of every situation with the #PowerfulAllRounder. Introducing #motog10power with a 6\xe2\x80\xa6"""
69,"b""RT @motorolaindia: Click picture-perfect moments with #motog10power's 48MP Quad Camera. Get vivid nighttime pictures, beautiful portraits,\xe2\x80\xa6"""
70,b'Motorola launches Moto G10 Power and Moto G30 with 48MP/64MP quad-cameras in India. #technews #MotoG10Power #MotoG30 @motorolaindia https://t.co/kKmcrk3Qww'
71,"b""RT @motorolaindia: Click picture-perfect moments with #motog10power's 48MP Quad Camera. Get vivid nighttime pictures, beautiful portraits,\xe2\x80\xa6"""
72,"b""RT @motorolaindia: Netizens, it's time to make the most of every situation with the #PowerfulAllRounder. Introducing #motog10power with a 6\xe2\x80\xa6"""
73,b'Best Grocery Store POS Billing Software in Varanasi. \nGet 30 Day Demo Trial.\nCall us - 9918005600\nMail us - info@sparrowsoftwares.com\n#grocery #billingsoftware #wednesdaythought #motog10power #DhoniReturns #DidirSatheNandigram #SavitribaiPhule #\xe0\xa4\xad\xe0\xa4\xbf\xe0\xa4\x96\xe0\xa4\xbe\xe0\xa4\xb0\xe0\xa5\x80\xe0\xa4\xaf\xe0\xa5\x8b\xe0\xa4\x82_\xe0\xa4\x95\xe0\xa4\xbe\xe0\xa4\xae_\xe0\xa4\x95\xe0\xa4\xb0\xe0\xa5\x8b #\xe0\xa4\xb8\xe0\xa4\xbe\xe0\xa4\xb5\xe0\xa4\xbf\xe0\xa4\xa4\xe0\xa5\x8d\xe0\xa4\xb0\xe0\xa5\x80\xe0\xa4\xac\xe0\xa4\xbe\xe0\xa4\x88\xe0\xa4\xab\xe0\xa5\x81\xe0\xa4\xb2\xe0\xa5\x87 https://t.co/8mvNpvS1pF'
74,"b'RT @blessedkamal: @motorolaindia #MoToG10PoWeR MoTo G10 PoWeR : \xe2\x82\xb912,990/- \n#MoToG30 MoTo G30 : \xe2\x82\xb915,990/- \n#PoWeRFuLALLRoUNDeR \n#SoLiDALLRoU\xe2\x80\xa6'"
75,"b'RT @motorolaindia: Well, now you will know what makes the #motog10power truly a #PowerfulAllRounder - all its brilliant features! Save the\xe2\x80\xa6'"
76,"b""RT @motorolaindia: Click picture-perfect moments with #motog10power's 48MP Quad Camera. Get vivid nighttime pictures, beautiful portraits,\xe2\x80\xa6"""
77,"b'RT @techscico: Moto G10 Power launched in India \n\n- 6.5"" HD+ display\n- Snapdragon 460 SoC\n- 8MP Front \n- 48MP + 8MP + 2MP + 2MP Rear \n- 3.5\xe2\x80\xa6'"
78,"b'RT @techscico: Moto G10 Power launched in India \n\n- 6.5"" HD+ display\n- Snapdragon 460 SoC\n- 8MP Front \n- 48MP + 8MP + 2MP + 2MP Rear \n- 3.5\xe2\x80\xa6'"
79,"b'RT @motorolaindia: You wanted to explore more. You got it with #motog10power that comes with a 6000 mAh battery, 48MP Quad Camera, ThinkShi\xe2\x80\xa6'"
80,b'@motorolaindia @Flipkart \xf0\x9f\x93\xb8Capture sharper with \n\n\xe2\x9a\xa1#motog10power \xe2\x9a\xa1'
81,"b""RT @motorolaindia: Click picture-perfect moments with #motog10power's 48MP Quad Camera. Get vivid nighttime pictures, beautiful portraits,\xe2\x80\xa6"""
82,"b'RT @NayanKeshrani: @motorolaindia ---&gt;For Moto G10Power price should be \xe2\x82\xb912,999/- \n\n---&gt;For Moto G30 price should be \xe2\x82\xb917,999/-\n\n#motog10pow\xe2\x80\xa6'"
83,"b'RT @Bharat67791925: @motorolaindia ---&gt;For Moto G10Power price should be \xe2\x82\xb912,999/- \n\n---&gt;For Moto G30 price should be \xe2\x82\xb917,999/-\n\n#motog10po\xe2\x80\xa6'"
84,"b'RT @DishaKeshrani: @motorolaindia @Bharat67791925 ---&gt;For Moto G10Power price should be \xe2\x82\xb912,999/- \n\n---&gt;For Moto G30 price should be \xe2\x82\xb917,99\xe2\x80\xa6'"
85,"b""RT @motorolaindia: Click picture-perfect moments with #motog10power's 48MP Quad Camera. Get vivid nighttime pictures, beautiful portraits,\xe2\x80\xa6"""
86,"b""Click picture-perfect moments with #motog10power's 48MP Quad Camera. Get vivid nighttime pictures, beautiful portraits, &amp; incredibly detailed close-ups with #PowerfulAllRounder at just \xe2\x82\xb99,999. Available from 16th Mar, 12 PM on @Flipkart. https://t.co/rtY2fmPleJ https://t.co/QWHWLEO2mW"""
87,"b'RT @techscico: Moto G10 Power launched in India \n\n- 6.5"" HD+ display\n- Snapdragon 460 SoC\n- 8MP Front \n- 48MP + 8MP + 2MP + 2MP Rear \n- 3.5\xe2\x80\xa6'"
88,"b'RT @techscico: Moto G10 Power launched in India \n\n- 6.5"" HD+ display\n- Snapdragon 460 SoC\n- 8MP Front \n- 48MP + 8MP + 2MP + 2MP Rear \n- 3.5\xe2\x80\xa6'"
89,"b""Here's a look at the new #motog10power\nhttps://t.co/Ku5gjLOfrf"""
90,"b'RT @Pooja_bhatii: @motorolaindia For Moto G10Power price should be \xe2\x82\xb914,990/- \nFor Moto G30 price should be \xe2\x82\xb915,990/-\n#motog10power #MotoG30\xe2\x80\xa6'"
91,"b'RT @Pooja_bhatii: @motorolaindia For Moto G10Power price should be \xe2\x82\xb914,990/- \nFor Moto G30 price should be \xe2\x82\xb915,990/-\n#motog10power #MotoG30\xe2\x80\xa6'"
92,"b'@motorolaindia Moto g10 power \xe2\x82\xb914,500\nMoto g30 \xe2\x82\xb9 15,999\n\n#PowerfulAllRounder #SolidAllRounder #motog10power #MotoG30 #GuessThePrice #AsliAllRounders \n@motorolaindia\n \n@Ramacha36339081 \n@jeevanhamilton'"
93,"b'@motorolaindia Moto g10 power \xe2\x82\xb914,500\nMoto g30 \xe2\x82\xb9 15,999\n\n#PowerfulAllRounder #SolidAllRounder #motog10power #MotoG30 #GuessThePrice #AsliAllRounders \n@motorolaindia'"
94,"b'@motorolaindia For Moto G10Power - \xe2\x82\xb912,999/- \nFor Moto G30 - \xe2\x82\xb917,999/-\n\n#motog10power #MotoG30\n@motorolaindia \n\nJoin\n@vishal_vadoliya \n@AbhishekIPLFeak \n@Kamran13567781'"
95,"b'RT @motorolaindia: Well, now you will know what makes the #motog10power truly a #PowerfulAllRounder - all its brilliant features! Save the\xe2\x80\xa6'"
96,"b""Here's all you need to know about the Moto G10 Power &amp; Moto G30\n\nDetailed comparison here: https://t.co/DdNYBZyH5B\n\n#MotoG30 #MotoG10Power #Motorola #BGRTechReview #BGR https://t.co/Fk6Ass4PgU"""
97,b'RT @gadgetstouse: #GTU #NewVideo #MotoG30\n#motog10power\n\nNew video: Moto G30 and G10 Power | Powerful enough? | Unboxing and First Impressi\xe2\x80\xa6'
98,b'RT @motorolaindia: Wish to win a #PowerfulAllRounder or a #SolidAllRounder? Just #GuessThePrice of both the #AsliAllRounders. #Contest ends\xe2\x80\xa6'
99,"b'@motorolaindia Moto g10 power \xe2\x82\xb914,500\nMoto g30 \xe2\x82\xb9 15,999\n\n#PowerfulAllRounder #SolidAllRounder #motog10power #MotoG30 #GuessThePrice #AsliAllRounders \n@motorolaindia\n \nJoin \xe2\xa4\xb5\xef\xb8\x8f\xe2\xa4\xb5\xef\xb8\x8f\xf0\x9f\xa4\x9e\n@imPalak18 @Smiley_Bharati @mysterioussu @SJ_0016 @chilled_Sup @cool_bindra @blessedkamal @jinijony08 @rathore178'"
100,"b'RT @TrakinTech: Moto G10 Power &amp; Moto G30 Unboxing And First Impressions \xe2\x9a\xa1 90Hz Screen, 6000mAh Battery &amp; More : #MotoG30 #motog10power @mo\xe2\x80\xa6'"
101,"b'RT @gogiinc: Moto G10 Power and Moto G30 Unboxing and Quick Review - 6000 mAh, 90Hz #MotoG30 #motog10power #Motorola https://t.co/f4HObRIlf\xe2\x80\xa6'"
102,"b'RT @rjvrana: Moto G10 Power and Moto G30 Unboxing and Quick Review - 6000 mAh, 90Hz #MotoG30 #motog10power  #Motorola https://t.co/GiegSYDb\xe2\x80\xa6'"
103,"b'RT @NayanKeshrani: @motorolaindia ---&gt;For Moto G10Power price should be \xe2\x82\xb912,999/- \n\n---&gt;For Moto G30 price should be \xe2\x82\xb917,999/-\n\n#motog10pow\xe2\x80\xa6'"
104,b'RT @motorolaindia: Wish to win a #PowerfulAllRounder or a #SolidAllRounder? Just #GuessThePrice of both the #AsliAllRounders. #Contest ends\xe2\x80\xa6'
105,"b'Moto g10 power \xe2\x82\xb914,500\nMoto g30 \xe2\x82\xb9 15,999\n\n#PowerfulAllRounder #SolidAllRounder #motog10power #MotoG30 #GuessThePrice #AsliAllRounders \n@motorolaindia\n \nJoin \xe2\xa4\xb5\xef\xb8\x8f\xe2\xa4\xb5\xef\xb8\x8f\xf0\x9f\xa4\x9e\n@imPalak18 @Smiley_Bharati @mysterioussu @SJ_0016 @chilled_Sup @cool_bindra @blessedkamal @jinijony08 @rathore178 https://t.co/o5ldFwnY8t'"
106,"b'@motorolaindia Moto g10 power \xe2\x82\xb914,500\nMoto g30 \xe2\x82\xb9 15,999\n\n#PowerfulAllRounder #SolidAllRounder #motog10power #MotoG30 #GuessThePrice #AsliAllRounders \n@motorolaindia\n \nJoin \xe2\xa4\xb5\xef\xb8\x8f\xe2\xa4\xb5\xef\xb8\x8f\xf0\x9f\xa4\x9e\n@imPalak18 @Smiley_Bharati @mysterioussu @SJ_0016 @chilled_Sup @cool_bindra @blessedkamal @jinijony08 @rathore178'"
107,b'RT @Pareek197: @motorolaindia Moto G10 power: \xe2\x82\xb99990\n\nMoto G30: \xe2\x82\xb9 10990\n\n#PowerfulAllRounder  \n#SolidAllRounder\n#motog10power\n#motog30 \n\n@mo\xe2\x80\xa6'
108,b'RT @motorolaindia: Wish to win a #PowerfulAllRounder or a #SolidAllRounder? Just #GuessThePrice of both the #AsliAllRounders. #Contest ends\xe2\x80\xa6'
109,b'RT @techno_drift: Moto G10 Power and G30 launched in India #MotoG30 #motog10power #Motorola #tech #technews #technology \nVisit our website\xe2\x80\xa6'
110,"b'Moto G10 Power And Moto G30 Are Launched In India \xf0\x9f\x87\xae\xf0\x9f\x87\xb3\n\n\xe2\xad\x95 6.5""HD+/6.5"" 90hz RR display\n\xe2\xad\x95 6000mAh/5000mAh \n\xe2\xad\x95 48+8+2+2MP/64+8+2+2MP\n\xe2\xad\x95 8MP/13MP\n\xe2\xad\x95 Android 11/Android 11\n\xe2\xad\x95 IP52/IP52\n\xe2\xad\x95 SD 460/SD 662\n\xe2\xad\x95 NA/NFC\n\n\xf0\x9f\x92\xb0 4GB+64GB \xe2\x82\xb99,999/10,999\n\n#MotoG10Power #MotoG30'"
111,b'RT @techno_drift: Moto G10 Power and G30 launched in India #MotoG30 #motog10power #Motorola #tech #technews #technology \nVisit our website\xe2\x80\xa6'
112,b'#MotoG10Power &amp; #MotoG30 FULL SPecs in 30 seconds!\nhttps://t.co/aLZiIU8OVf https://t.co/M81JGFh4P8'
113,b'RT @Pareek197: @motorolaindia Moto G10 power: \xe2\x82\xb99990\n\nMoto G30: \xe2\x82\xb9 10990\n\n#PowerfulAllRounder  \n#SolidAllRounder\n#motog10power\n#motog30 \n\n@mo\xe2\x80\xa6'
114,b'RT @motorolaindia: Wish to win a #PowerfulAllRounder or a #SolidAllRounder? Just #GuessThePrice of both the #AsliAllRounders. #Contest ends\xe2\x80\xa6'
115,b'RT @techno_drift: Moto G10 Power and G30 launched in India #MotoG30 #motog10power #Motorola #tech #technews #technology \nVisit our website\xe2\x80\xa6'
116,b'Moto G10 Power and G30 launched in India #MotoG30 #motog10power #Motorola #tech #technews #technology \nVisit our website at https://t.co/ZHA4kLIh37\nCheck out our youtube channel at https://t.co/mqVyoMr0WZ https://t.co/Wxuct7EW3O'
117,b'@motorolaindia Moto g10 power: \xe2\x82\xb99999\nMoto g30: \xe2\x82\xb9 10999\n\n#PowerfulAllRounder  \n#SolidAllRounder\n#motog10power\n#motog30'
118,b'RT @motorolaindia: Wish to win a #PowerfulAllRounder or a #SolidAllRounder? Just #GuessThePrice of both the #AsliAllRounders. #Contest ends\xe2\x80\xa6'
119,b'@motorolaindia Moto g10 power \xe2\x9e\xa1\xef\xb8\x8f  \xe2\x82\xb9 9999\n\nMoto g30   \xe2\x9e\xa1\xef\xb8\x8f \xe2\x82\xb910999\n\n#motog10power  #motog30\n@motorolaindia \nTag friends\n@AmarjeetMarwaha \n@MaisuriaC'
120,b'RT @motorolaindia: Wish to win a #PowerfulAllRounder or a #SolidAllRounder? Just #GuessThePrice of both the #AsliAllRounders. #Contest ends\xe2\x80\xa6'
121,b'RT @ranchikuldeep: @motorolaindia Moto g10 power- \xe2\x82\xb910990\nMoto g30-  \xe2\x82\xb912990\n\n#PowerfulAllRounder  \n#SolidAllRounder\n#motog10power\n#motog30\xe2\x80\xa6'
122,"b'RT @avii4ever: @motorolaindia Moto G10 Power -) \xe2\x82\xb910,999/-\n\nMoto G30 -) 12,999/-\n\n#PowerfulAllRounder #SolidAllRounder #GuessThePrice #AsliA\xe2\x80\xa6'"
123,b'RT @Pareek197: @motorolaindia Moto G10 power: \xe2\x82\xb99990\n\nMoto G30: \xe2\x82\xb9 10990\n\n#PowerfulAllRounder  \n#SolidAllRounder\n#motog10power\n#motog30 \n\n@mo\xe2\x80\xa6'
124,b'In case you missed it.\nCheck out the new Motorolas in town.\n#MotoG30 #motog10power \nhttps://t.co/MVdzOtlMLm'
